length,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
1000,Markov p_stay=0.95,Longest Run of Ones,129.45101444898634,7.101973098565432e-28,False,0.01,0.001041600000000642,"{'block_size': 8, 'n_blocks': 125, 'categories': [1, 2, 3, 4], 'observed': [54.0, 7.0, 6.0, 58.0]}",
1000,Markov p_stay=0.95,Binary Matrix Rank,,,False,0.01,0.00013669999999876836,{},Sequence too short for matrix rank test.
1000,Markov p_stay=0.95,Non-overlap Template,,,False,0.01,0.00013459999999909655,{},Sequence too short for template matching settings.
1000,Markov p_stay=0.95,Maurer Universal,,,False,0.01,0.00012299999999854094,{},"Maurer test requires at least 6,000 bits."
10000,Python Mersenne,Frequency (Monobit),0.82,0.41221610717162616,True,0.01,0.0004117999999984079,"{'n': 10000, 'ones': 4959, 'zeros': 5041}",
10000,Python Mersenne,Block Frequency,84.6875,0.2830221378113531,True,0.01,0.0003659999999996444,"{'block_size': 128, 'n_blocks': 78}",
10000,Python Mersenne,Runs,4974.0,0.6077341297922836,True,0.01,0.0002959999999987417,"{'n': 10000, 'pi': 0.4959}",
10000,Python Mersenne,Longest Run of Ones,1.812593832398962,0.8744206286487972,True,0.01,0.003136699999998882,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [7.0, 16.0, 22.0, 14.0, 10.0, 9.0]}",
10000,Python Mersenne,Binary Matrix Rank,1.3878116343490303,0.49962082553871534,True,0.01,0.012397200000002329,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [3.0, 6.0, 0.0]}",
10000,Python Mersenne,Non-overlap Template,4.032552083333334,0.9092569812046452,True,0.01,0.041148800000001984,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,Python Mersenne,Maurer Universal,5.266520462942721,0.12060541321706775,True,0.01,0.0030642000000007386,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,NumPy PCG64,Frequency (Monobit),0.66,0.5092538293426723,True,0.01,0.00027750000000281716,"{'n': 10000, 'ones': 5033, 'zeros': 4967}",
