generator,test,statistic,p_value,passed,alpha,execution_time,details,error
Biased p(1)=0.70,Block Frequency,33462.53125,0.0,False,0.01,0.0022805000000003517,"{""block_size"": 128, ""n_blocks"": 1562}",
Biased p(1)=0.70,Runs,0.0,0.0,False,0.01,0.0017863999999994107,"{""n"": 200000, ""pi"": 0.70039, ""reason"": ""frequency precondition failed""}",
Biased p(1)=0.70,Longest Run of Ones,7680.635759356612,0.0,False,0.01,0.09614180000000072,"{""block_size"": 128, ""n_blocks"": 1562, ""categories"": [4, 5, 6, 7, 8, 9], ""observed"": [0.0, 5.0, 27.0, 96.0, 176.0, 1258.0]}",
Biased p(1)=0.70,Binary Matrix Rank,0.18952718896321996,0.9095879406615383,True,0.01,0.2886898000000002,"{""matrix_shape"": [32, 32], ""n_matrices"": 195, ""observed"": [59.0, 110.0, 26.0]}",
Biased p(1)=0.70,Non-overlap Template,16722.410156250004,0.0,False,0.01,1.1988810999999995,"{""template"": ""001"", ""block_size"": 1024, ""n_blocks"": 195, ""mean"": 127.75, ""variance"": 48.0}",
Biased p(1)=0.70,Maurer Universal,7.969603409383479,0.0,False,0.01,0.03478579999999987,"{""L"": 10, ""Q"": 10240, ""K"": 9760, ""expected_value"": 9.1723243, ""sigma"": 0.012062528708870642}",
Periodic 0101,Frequency (Monobit),0.0,1.0,True,0.01,0.0028749000000001246,"{""n"": 200000, ""ones"": 100000, ""zeros"": 100000}",
Periodic 0101,Block Frequency,0.0,1.0,True,0.01,0.00253559999999986,"{""block_size"": 128, ""n_blocks"": 1562}",
Periodic 0101,Runs,200000.0,0.0,False,0.01,0.0021454999999992452,"{""n"": 200000, ""pi"": 0.5}",
Periodic 0101,Longest Run of Ones,11742.940374787053,0.0,False,0.01,0.06525109999999934,"{""block_size"": 128, ""n_blocks"": 1562, ""categories"": [4, 5, 6, 7, 8, 9], ""observed"": [1562.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",
Periodic 0101,Binary Matrix Rank,1264.5808383233534,2.5104986824729274e-275,False,0.01,0.057663499999999424,"{""matrix_shape"": [32, 32], ""n_matrices"": 195, ""observed"": [0.0, 0.0, 195.0]}",
Periodic 0101,Non-overlap Template,66300.25390625001,0.0,False,0.01,1.266303999999999,"{""template"": ""001"", ""block_size"": 1024, ""n_blocks"": 195, ""mean"": 127.75, ""variance"": 48.0}",
Periodic 0101,Maurer Universal,0.0,0.0,False,0.01,0.029118199999999206,"{""L"": 10, ""Q"": 10240, ""K"": 9760, ""expected_value"": 9.1723243, ""sigma"": 0.012062528708870642}",
Block RNG,Frequency (Monobit),3.72081711455965,0.0001985792125399983,False,0.01,0.0022604000000008284,"{""n"": 200000, ""ones"": 100832, ""zeros"": 99168}",
Block RNG,Block Frequency,26056.0,0.0,False,0.01,0.0022306000000007487,"{""block_size"": 128, ""n_blocks"": 1562}",
Block RNG,Runs,6190.0,0.0,False,0.01,0.0025554000000003185,"{""n"": 200000, ""pi"": 0.50416}",
